,song_name,song_popularity,date_added_to_playlist,song_duration_ms,artist_name,album_names,album_release_date,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
0,Loyal,63,2018-10-05T07:44:45Z,185625,Major Lazer,Loyal,2018-10-03,0.126,0.81,0.584,0.0,5,0.0679,-6.271,1,0.0653,99.981,4,0.841
1,Fakaza,40,2018-10-05T07:44:45Z,296784,Tipcee,Fakaza,2018-04-27,0.00112,0.905,0.894,0.261,2,0.058,-6.178,1,0.0394,127.006,4,0.185
2,Monini,37,2018-10-05T07:44:45Z,319920,DJ Fortee,Monini,2018-07-13,0.00176,0.809,0.573,0.329,2,0.0628,-6.939,0,0.0594,123.961,4,0.71
3,Midnight Starring,48,2018-10-05T07:44:45Z,352653,DJ Maphorisa,Blaqboy Music Presents Gqom Wave,2017-11-17,0.0192,0.936,0.69,0.000257,1,0.0822,-6.533,1,0.095,126.027,4,0.545
4,Hurtin' Me - The Remix,60,2018-10-05T07:44:45Z,241024,Stefflon Don,SECURE,2018-08-17,0.179,0.506,0.822,0.0,0,0.31,-3.348,1,0.282,203.276,4,0.738
5,Suited (SynX Remix)[feat. Mr Eazi] (feat. Synx & Mr Eazi),40,2018-10-05T07:44:45Z,269997,Shekhinah,Suited (SynX Remix)[feat. Mr Eazi] (feat. Synx & Mr Eazi),2018-04-13,0.194,0.445,0.73,0.0,1,0.203,-5.68,0,0.311,100.462,4,0.651
6,Make Wild,41,2018-10-05T07:44:45Z,195357,Shirazee,Home and Away,2018-06-15,0.283,0.87,0.673,0.000198,7,0.152,-6.595,0,0.139,112.01,4,0.51
7,Ma Lo,62,2018-10-05T07:44:45Z,182857,WizKid,Sugarcane,2017-09-22,0.424,0.788,0.721,2.86e-06,11,0.0897,-4.577,1,0.152,105.23,4,0.653
8,Issa Goal,50,2018-10-05T07:44:45Z,216774,Naira Marley,Issa Goal,2017-12-18,0.161,0.708,0.767,0.0,4,0.328,-4.368,0,0.258,124.453,4,0.853
9,Legbegbe,49,2018-10-05T07:44:45Z,262191,Mr Real,Legbegbe,2018-01-04,0.0652,0.903,0.781,8.56e-05,1,0.0591,-5.465,0,0.109,125.01,4,0.758
10,Daddy Yo,55,2018-10-05T07:44:45Z,160293,WizKid,Sounds From The Other Side,2017-07-14,0.234,0.819,0.839,1.74e-05,6,0.137,-3.663,0,0.0682,98.968,4,0.81
11,Pana,63,2018-10-05T07:44:45Z,242893,Tekno,Pana,2016-12-20,0.305,0.553,0.553,0.0581,6,0.0715,-6.818,0,0.305,72.949,3,0.664
12,Drogba (Joanna),65,2018-10-05T07:44:45Z,199000,Afro B,Drogba (Joanna),2018-02-16,0.0206,0.966,0.633,4.06e-06,2,0.0715,-6.392,1,0.101,108.011,4,0.767
13,Skelewu,52,2018-10-05T07:44:45Z,189506,DaVido,Best Of Davido,2015-08-23,0.156,0.828,0.844,1.31e-06,10,0.0609,-3.447,0,0.0895,120.989,4,0.858
14,Tied Up,48,2018-10-05T07:44:45Z,187333,Major Lazer,Tied Up...Orkant/Balance Pon It...,2018-09-26,0.0122,0.664,0.623,1.32e-05,1,0.0957,-5.357,0,0.158,180.183,4,0.65
15,Orkant/Balance Pon It,41,2018-10-05T07:44:45Z,279445,Major Lazer,Tied Up...Orkant/Balance Pon It...,2018-09-26,0.0184,0.849,0.92,1.68e-05,1,0.522,-4.191,1,0.143,126.038,4,0.71
16,All My Life,46,2018-10-05T07:44:45Z,174000,Major Lazer,Tied Up...Orkant/Balance Pon It...,2018-09-26,0.0404,0.428,0.904,4.1e-06,5,0.0754,-4.189,1,0.261,199.869,4,0.834
17,Particula,59,2018-10-05T07:44:45Z,204654,Major Lazer,Know No Better,2017-06-02,0.0265,0.678,0.735,2.19e-05,8,0.235,-4.725,1,0.0488,100.002,4,0.386
18,"My Woman, My Everything (feat. Wandecoal)",57,2018-10-05T07:44:45Z,233717,Patoranking,"My Woman, My Everything (feat. Wandecoal) - Single",2015-07-06,0.0438,0.902,0.845,0.0,11,0.0867,-2.695,1,0.0644,112.005,4,0.625
19,Spy Candy,39,2018-10-05T07:44:45Z,199699,Jidenna,Boomerang,2017-11-10,0.0439,0.707,0.443,6.32e-06,1,0.506,-7.401,1,0.0314,94.001,4,0.293
20,Makhe,47,2018-10-05T07:44:45Z,371973,DJ Maphorisa,Blaqboy Music Presents Gqom Wave,2017-11-17,0.000179,0.94,0.713,0.217,11,0.0623,-6.766,0,0.0455,125.013,4,0.39
21,AKWAABA,58,2018-10-05T07:44:45Z,206829,GuiltyBeatz,AKWAABA,2018-03-16,0.0203,0.881,0.862,0.113,2,0.0638,-4.974,1,0.0525,123.062,4,0.213
22,Love You Die (feat. Diamond Platnumz),52,2018-10-05T07:44:45Z,195597,Patoranking,Love You Die (feat. Diamond Platnumz),2017-09-01,0.14,0.79,0.699,0.0,0,0.0945,-6.427,1,0.0376,105.04,4,0.771
23,Jezebel (Main Mix) (feat. Oskido),27,2018-10-05T07:44:45Z,459040,Professor,Jezebel & Imoto,2011-10-09,0.000173,0.799,0.752,0.119,0,0.0826,-11.465,1,0.0785,126.018,4,0.613
24,Said (Coke Studio Africa),49,2018-10-05T07:44:45Z,218079,Nasty C,Said (Coke Studio Africa),2017-09-08,0.691,0.793,0.607,0.0,11,0.0601,-8.511,0,0.144,103.033,4,0.564
25,Wololo,38,2018-10-05T07:44:45Z,390373,Babes Wodumo,"Gqom Queen, Vol. 1",2016-12-02,0.000294,0.895,0.751,0.0032,1,0.0524,-6.373,0,0.0588,126.053,4,0.768
26,Property,61,2018-10-05T07:44:45Z,144679,Mr Eazi,Property,2018-07-27,0.385,0.893,0.485,6.9e-06,1,0.128,-5.41,1,0.281,99.927,4,0.818
27,Rock Your Body,58,2018-10-05T07:44:45Z,221228,Burna Boy,Outside,2018-01-26,0.107,0.801,0.623,0.00396,0,0.0853,-7.861,1,0.0982,104.985,4,0.801
28,Shake Body,55,2018-10-05T07:44:45Z,208873,Skales,Man of the Year,2015-05-18,0.193,0.855,0.872,2.87e-05,6,0.0615,-4.09,1,0.0548,130.998,4,0.96
29,Ay mama,40,2018-10-05T07:44:45Z,198626,Singuila,Entre 2,2017-04-21,0.205,0.683,0.489,0.0,8,0.0437,-5.542,0,0.0836,109.939,4,0.798
30,Confession,37,2018-10-05T07:44:45Z,212703,Kofi Kinaata,Confession,2017-11-07,0.242,0.883,0.523,4.84e-05,7,0.167,-5.954,1,0.0852,105.031,4,0.732
31,Leg Over,65,2018-10-05T07:44:45Z,197972,Mr Eazi,"Life Is Eazi, Vol. 1 - Accra To Lagos",2017-02-10,0.58,0.601,0.681,0.0,9,0.0934,-5.171,1,0.324,98.078,4,0.546
32,Been Calling,60,2018-10-05T07:44:45Z,196800,Maleek Berry,Been Calling,2017-06-29,0.201,0.743,0.7,0.0,5,0.252,-6.108,1,0.0707,125.048,5,0.678
